ID        alpha     delta          x         y         v         ev        bv        ebv       ub        eub       vi        evi
242       250.108237-43.347592   866.377   885.552    15.216     0.003     0.731     0.003     0.386     0.012     0.995     0.003
243       250.087754-43.364861  1001.160  1040.350    15.223     0.003     0.855     0.003     0.310     0.016     1.163     0.003
244       250.067970-43.472285  1131.340  2003.270    15.236     0.002     0.883     0.004     INDEF     INDEF     1.291     0.003
245       250.131218-43.327722   715.154   707.439    15.236     0.003     0.741     0.005     INDEF     INDEF     1.028     0.004
246       250.011433-43.385916  1503.370  1229.080    15.243     0.001     0.779     0.002     0.420     0.014     1.085     0.002
247       250.077740-43.391722  1067.050  1281.120    15.256     0.003     0.919     0.003     0.375     0.016     1.246     0.003
248       249.943701-43.341928  1949.060   834.781    15.261     0.004     0.847     0.007     0.375     0.020     1.200     0.007
249       250.144765-43.356820   626.014   968.269    15.266     0.003     0.822     0.003     0.387     0.018     1.130     0.003
250       250.173869-43.279301   434.503   273.405    15.266     0.005     2.534     0.013     INDEF     INDEF     4.617     0.005
251       250.132091-43.327398   709.408   704.536    15.268     0.003     0.883     0.005     0.099     0.046     1.219     0.003
252       250.124489-43.315836   759.436   600.896    15.268     0.002     0.727     0.003     INDEF     INDEF     1.012     0.003
253       250.038072-43.430945  1328.080  1632.710    15.278     0.002     0.996     0.003     INDEF     INDEF     1.383     0.003
254       250.070975-43.351346  1111.570   919.203    15.280     0.003     0.924     0.003     0.375     0.015     1.255     0.004
255       250.085581-43.335442  1015.460   776.641    15.283     0.004     0.789     0.004     0.419     0.016     1.070     0.008
256       250.166074-43.320269   485.790   640.632    15.285     0.010     0.760     0.009     INDEF     INDEF     0.936     0.010
